Wave,Degree,Sign,Planet,Note,Sabian Symbol ,Chandra Symbol,Personal Question 
1,0,Leo,Sun,"0° (Emergent Self): Self awakens as raw radiance, the joy of being alive. — The Sun in Leo under the Root Trinity Wave embodies Self as radiance. Here, identity arises as the primal flame of expression — unapologetic, creative, and life-affirming. Leo roots the Self not as hidden essence, but as light shining outward, demanding recognition of being as both authentic and sovereign.",1   A case of apoplexy.,1. A divorced husband and wife enjoying each other’s company.,What explosive charge can now be released in peaceful presence? 
1,10,Leo,Sun,"10° (Formative Self): Identity stabilizes through creativity, performance, and play. — The Sun in Leo under the Root Trinity Wave embodies Self as radiance. Here, identity arises as the primal flame of expression — unapologetic, creative, and life-affirming. Leo roots the Self not as hidden essence, but as light shining outward, demanding recognition of being as both authentic and sovereign.",​11 Children on a swing in a huge oak tree.,11. A boy removing a thorn from his foot.,What joyful innocence is healing an old pain?
1,20,Leo,Sun,"20° (Integrated Self): Self matures into a regal presence — radiant, warm, and enduring. — The Sun in Leo under the Root Trinity Wave embodies Self as radiance. Here, identity arises as the primal flame of expression — unapologetic, creative, and life-affirming. Leo roots the Self not as hidden essence, but as light shining outward, demanding recognition of being as both authentic and sovereign.",​21 Chickens intoxicated.,21. A holly bush covered with berries. It is in the snow.,What temporary frenzy is rooted in deep seasonal fruiting?
1,0,Virgo,Sun,"0° (Emergent Self): Self awakens as curiosity for order and refinement. — The Sun in Virgo under the Root Trinity Wave roots identity through refinement and service. The Self here seeks definition by attending to detail, by discerning what is essential and discarding what is not. Virgo teaches that identity is not just to exist, but to be shaped, purified, and aligned with usefulness and care.",1  A man's head.,1. A volcano erupting at night.,What conscious clarity is hiding a powerful inner eruption?  
1,10,Virgo,Sun,"10° (Formative Self): Identity stabilizes through craft, skill, and precise service. — The Sun in Virgo under the Root Trinity Wave roots identity through refinement and service. The Self here seeks definition by attending to detail, by discerning what is essential and discarding what is not. Virgo teaches that identity is not just to exist, but to be shaped, purified, and aligned with usefulness and care.",11 A boy moulded in his mother's aspirations for him.,11. A four-year-old girl dressed as a nurse.,What borrowed purpose is being returned to playfulness?
1,20,Virgo,Sun,"20° (Integrated Self): Self becomes a refined presence — exact, humble, and purposeful. — The Sun in Virgo under the Root Trinity Wave roots identity through refinement and service. The Self here seeks definition by attending to detail, by discerning what is essential and discarding what is not. Virgo teaches that identity is not just to exist, but to be shaped, purified, and aligned with usefulness and care.",21 A girls’ basketball team.,21. Dark river and distant bell.,What shared rhythm is calling you into coordinated flow?
1,0,Libra,Sun,"0° (Emergent Self): Self awakens in the mirror of the Other. — The Sun in Libra under the Root Trinity Wave roots identity through balance and reflection. The Self is defined not in isolation, but in relation — arising as harmony, dialogue, and exchange. Libra insists that being is always mirrored, and that true Selfhood includes the art of relationship.",1   A butterfly made perfect by a dart through it.,1. A group of fat Italian ladies preparing bread.,What idealized beauty is softening into nourishing reality? 
1,10,Libra,Sun,"10° (Formative Self): Identity stabilizes through balance, fairness, and diplomacy. — The Sun in Libra under the Root Trinity Wave roots identity through balance and reflection. The Self is defined not in isolation, but in relation — arising as harmony, dialogue, and exchange. Libra insists that being is always mirrored, and that true Selfhood includes the art of relationship.",11 A professor peering over his glasses.,11. Tea leaves that form a pentagram.,What curiosity is inviting you to decode a sacred message?
1,20,Libra,Sun,"20° (Integrated Self): Self matures into graceful presence — poised, relational, and harmonized. — The Sun in Libra under the Root Trinity Wave roots identity through balance and reflection. The Self is defined not in isolation, but in relation — arising as harmony, dialogue, and exchange. Libra insists that being is always mirrored, and that true Selfhood includes the art of relationship.",21 A crowd upon the beach.,21. A magician wearing a live snake for a belt.,What collective energy is wrapping itself in your creative power?
1,0,Scorpio,Sun,"0° (Emergent Self): Self awakens through primal intensity and instinctual depth. — The Sun in Scorpio under the Root Trinity Wave roots identity in depth and transformation. Here, the Self arises through intensity, the confrontation with shadow, and the refusal to remain superficial. Scorpio teaches that origin is forged in death-rebirth cycles, anchoring the Self as power that endures beyond appearances.",1   A sight-seeing bus.,1. A tunnel through a mountain.,What external journey mirrors a passage into your own depths?  
1,10,Scorpio,Sun,"10° (Formative Self): Identity stabilizes through testing, secrecy, and inner power. — The Sun in Scorpio under the Root Trinity Wave roots identity in depth and transformation. Here, the Self arises through intensity, the confrontation with shadow, and the refusal to remain superficial. Scorpio teaches that origin is forged in death-rebirth cycles, anchoring the Self as power that endures beyond appearances.",11 A drowning man rescued.,11. Gnarled twisted trees against an overcast sky.,What tangled story is being pulled from the waters of emotion?
1,20,Scorpio,Sun,"20° (Integrated Self): Self matures as transformative presence — enduring, magnetic, and resilient. — The Sun in Scorpio under the Root Trinity Wave roots identity in depth and transformation. Here, the Self arises through intensity, the confrontation with shadow, and the refusal to remain superficial. Scorpio teaches that origin is forged in death-rebirth cycles, anchoring the Self as power that endures beyond appearances.",​21 A soldier derelict in his duty.,21. A pair of glasses with no lenses in them.,What responsibility is being questioned through flawed vision?
1,0,Sagittarius,Sun,"0° (Emergent Self): Self awakens through longing for adventure and meaning. — The Sun in Sagittarius under the Root Trinity Wave roots identity through vision and expansion. The Self here is not just a flame but a journey — seeking meaning, direction, and open horizons. Sagittarius reminds the Self that existence unfolds in quest and belief, in the courage to travel far into possibility.",1   A Grand Army of the Republic campfire.,"1. A woman, manacled in solid gold chains.", What is veiled in you that longs to be seen gently?
1,10,Sagittarius,Sun,"10° (Formative Self): Identity stabilizes through exploration, philosophy, and truth-seeking. — The Sun in Sagittarius under the Root Trinity Wave roots identity through vision and expansion. The Self here is not just a flame but a journey — seeking meaning, direction, and open horizons. Sagittarius reminds the Self that existence unfolds in quest and belief, in the courage to travel far into possibility.",11 The lamp of physical enlightenment at the left temple.,11. A string of pearls.,What embodied knowing is emerging through subtle links?
1,20,Sagittarius,Sun,"20° (Integrated Self): Self matures into expansive presence — radiant with vision and faith. — The Sun in Sagittarius under the Root Trinity Wave roots identity through vision and expansion. The Self here is not just a flame but a journey — seeking meaning, direction, and open horizons. Sagittarius reminds the Self that existence unfolds in quest and belief, in the courage to travel far into possibility.",​21 A child and a dog with borrowed eyeglasses.,21. Toads singing at night.,What innocent perspective is tuning you to hidden frequencies?
1,0,Capricorn,Sun,"0° (Emergent Self): Self awakens as instinct to climb, endure, and achieve. — The Sun in Capricorn under the Root Trinity Wave roots identity through endurance and structure. The Self here is forged in responsibility, patience, and the capacity to build. Capricorn teaches that true origin is not only ignition but persistence, anchoring identity as achievement, discipline, and authority earned over time.",1   An Indian chief demanding recognition.,1. A canopy bed with curtains.,What leadership is seeking acknowledgment within a veiled space?  
1,10,Capricorn,Sun,"10° (Formative Self): Identity stabilizes through structure, responsibility, and measured effort. — The Sun in Capricorn under the Root Trinity Wave roots identity through endurance and structure. The Self here is forged in responsibility, patience, and the capacity to build. Capricorn teaches that true origin is not only ignition but persistence, anchoring identity as achievement, discipline, and authority earned over time.",11 A large group of pheasants,11. A young boy joyously kisses a fat old lady.,What abundance is being shared in an unexpected embrace?
1,20,Capricorn,Sun,"20° (Integrated Self): Self matures into enduring presence — grounded authority and legacy. — The Sun in Capricorn under the Root Trinity Wave roots identity through endurance and structure. The Self here is forged in responsibility, patience, and the capacity to build. Capricorn teaches that true origin is not only ignition but persistence, anchoring identity as achievement, discipline, and authority earned over time.",21 A relay race.,21. A stately old house in a ruined condition.,What inherited structure are you being called to pass forward or restore?
1,0,Aquarius,Sun,"0° (Emergent Self): Self awakens through vision of difference and originality. — The Sun in Aquarius under the Root Trinity Wave roots identity through innovation and collective vision. The Self here is not confined to individuality, but arises in the spark of ideas shared across groups, networks, and futures. Aquarius teaches that origin is not just personal flame, but the lightning of collective consciousness.",1   An old adobe mission.,1. A two-headed calf.,What rooted tradition is birthing a new paradox of perception? 
1,10,Aquarius,Sun,"10° (Formative Self): Identity stabilizes through group belonging, ideals, and reform. — The Sun in Aquarius under the Root Trinity Wave roots identity through innovation and collective vision. The Self here is not confined to individuality, but arises in the spark of ideas shared across groups, networks, and futures. Aquarius teaches that origin is not just personal flame, but the lightning of collective consciousness.",11 Man tête-à-tête with his inspiration.,11. Crows eating the corn that a farmer has sown.,What dialogue with spirit is being challenged by earthly interference?
1,20,Aquarius,Sun,"20° (Integrated Self): Self matures into visionary presence — unique, yet woven into the collective. — The Sun in Aquarius under the Root Trinity Wave roots identity through innovation and collective vision. The Self here is not confined to individuality, but arises in the spark of ideas shared across groups, networks, and futures. Aquarius teaches that origin is not just personal flame, but the lightning of collective consciousness.","21 Woman disappointed, disillusioned.",21. A beautiful woman dressed in white. She is wearing a large silver crescent on her head. The crescent is pointing upward.,What loss of ideal is making room for a lunar crown of truth?
1,0,Pisces,Sun,"0° (Emergent Self): Self awakens as sensitivity to the unseen and infinite. — The Sun in Pisces under the Root Trinity Wave roots identity in the oceanic and transcendent. The Self here arises not as a fixed spark, but as a dissolving flame — merging with dream, compassion, and mystery. Pisces reminds the Self that being is both presence and dissolution, both source and return.",​1   A public market.,1. A field of dandelions.,What shared space is offering ephemeral wisdom? 
1,10,Pisces,Sun,"10° (Formative Self): Identity stabilizes through imagination, devotion, and surrender. — The Sun in Pisces under the Root Trinity Wave roots identity in the oceanic and transcendent. The Self here arises not as a fixed spark, but as a dissolving flame — merging with dream, compassion, and mystery. Pisces reminds the Self that being is both presence and dissolution, both source and return.",11 Men seeking illumination.,"11. A high, crumbling wall. It is part of a ruin and covered with ivy.",What spiritual seeking is being softened by natural reclamation?
1,20,Pisces,Sun,"20° (Integrated Self): Self matures as a luminous presence — radiant yet permeable, united with all. — The Sun in Pisces under the Root Trinity Wave roots identity in the oceanic and transcendent. The Self here arises not as a fixed spark, but as a dissolving flame — merging with dream, compassion, and mystery. Pisces reminds the Self that being is both presence and dissolution, both source and return.","21 A little white lamb, a child and a Chinese servant.",21. Pagan fire worshippers dancing.,What sacred innocence is joining the ancient dance of devotion?
1,0,Aries,Moon,"0° (Emergent Feeling): Emotion sparks as raw impulse, quick and unfiltered. — The Moon in Aries under the Root Trinity Wave roots Feeling in immediacy and instinct. Emotion here is fiery, direct, and urgent — a pulse that insists on movement. In the Root Trinity, this is the raw essence of emotional courage: the need to act on what is felt without hesitation.","1   A woman rises out of the water, a seal rises and embraces her",1. A man repairing and extending a stone wall in the spring.,What ancient part of you is surfacing now—and what form is it building?  
1,10,Aries,Moon,"10° (Formative Feeling): Emotional responses stabilize into patterns of assertion and defense. — The Moon in Aries under the Root Trinity Wave roots Feeling in immediacy and instinct. Emotion here is fiery, direct, and urgent — a pulse that insists on movement. In the Root Trinity, this is the raw essence of emotional courage: the need to act on what is felt without hesitation.",11 The president of the country ,11. Sunlight illuminating dust in the air.,What leadership are you embodying through subtle radiance?
1,20,Aries,Moon,"20° (Integrated Feeling): Feeling matures into resilient instinct — emotion as fire guiding action. — The Moon in Aries under the Root Trinity Wave roots Feeling in immediacy and instinct. Emotion here is fiery, direct, and urgent — a pulse that insists on movement. In the Root Trinity, this is the raw essence of emotional courage: the need to act on what is felt without hesitation.",21  A pugilist entering the ring. ,21. Pastel flags fluttering in the breeze.,What bold confrontation is softened by a deeper resonance?
1,0,Taurus,Moon,"0° (Emergent Feeling): First stirring of safety through body and earth connection. — The Moon in Taurus under the Root Trinity Wave roots Feeling in embodiment and stability. Emotion here arises as calm continuity, seeking comfort, safety, and preservation. In the Root Trinity, this is the primal need to anchor emotional life in rhythm and enduring presence.",1  A clear mountain stream.,1. A red garnet ring. The garnets glow.,What clarity is being concentrated into a talisman of power?  
1,10,Taurus,Moon,"10° (Formative Feeling): Emotional rhythm stabilizes through routines of comfort and loyalty. — The Moon in Taurus under the Root Trinity Wave roots Feeling in embodiment and stability. Emotion here arises as calm continuity, seeking comfort, safety, and preservation. In the Root Trinity, this is the primal need to anchor emotional life in rhythm and enduring presence.",11  A woman sprinkling flowers.,11. A woman with flames for hair.,What gentle action conceals your burning intention?
1,20,Taurus,Moon,"20° (Integrated Feeling): Feeling matures into deep, grounded calm — enduring and steady. — The Moon in Taurus under the Root Trinity Wave roots Feeling in embodiment and stability. Emotion here arises as calm continuity, seeking comfort, safety, and preservation. In the Root Trinity, this is the primal need to anchor emotional life in rhythm and enduring presence.",21  A finger pointing in an open book.,21. A statue of Hermes decked with brightly colored garlands.,What message is being highlighted by myth and memory?
1,0,Gemini,Moon,"0° (Emergent Feeling): Emotion awakens as scattered curiosity and nervous spark. — The Moon in Gemini under the Root Trinity Wave roots Feeling in dialogue and movement. Emotion here is quick, shifting, and restless, needing expression through words, ideas, and interaction. In the Root Trinity, this is the raw pulse of curiosity within the emotional body.",1   A glass-bottomed boat in still water.,1. Knots in a cord. They are a message in code.,What submerged truth is rising through symbols and silence? 
1,10,Gemini,Moon,"10° (Formative Feeling): Feeling stabilizes through exchange, storytelling, and restless patterning. — The Moon in Gemini under the Root Trinity Wave roots Feeling in dialogue and movement. Emotion here is quick, shifting, and restless, needing expression through words, ideas, and interaction. In the Root Trinity, this is the raw pulse of curiosity within the emotional body.",11  A new path of realism in experience.,11. A stag with golden horns.,What majestic perception is grounding into your next step?
1,20,Gemini,Moon,"20° (Integrated Feeling): Emotion matures into adaptability — able to hold multiplicity without losing flow. — The Moon in Gemini under the Root Trinity Wave roots Feeling in dialogue and movement. Emotion here is quick, shifting, and restless, needing expression through words, ideas, and interaction. In the Root Trinity, this is the raw pulse of curiosity within the emotional body.",21  A labour demonstration.,21. Wine casks retrieved from an ancient shipwreck.,What collective passion are you uncovering from ancient depths?
1,0,Cancer,Moon,"0° (Emergent Feeling): First stirrings of care, protection, and familial bond. — The Moon in Cancer under the Root Trinity Wave roots Feeling in belonging and memory. Emotion here is tidal and protective, tied to ancestry, kin, and the primal home. In the Root Trinity, this is the most essential pulse of nurture: Feeling as root, memory as vessel.",1   A furled and unfurled flag displayed from a vessel.,1. A potter at work.,What identity are you shaping that flows from hidden craftsmanship?  
1,10,Cancer,Moon,"10° (Formative Feeling): Emotion stabilizes through cycles of home, memory, and devotion. — The Moon in Cancer under the Root Trinity Wave roots Feeling in belonging and memory. Emotion here is tidal and protective, tied to ancestry, kin, and the primal home. In the Root Trinity, this is the most essential pulse of nurture: Feeling as root, memory as vessel.",11 A clown making grimaces.,11. Monstrosities in glass jars at a side show.,What distortions are asking to be laughed into healing?
1,20,Cancer,Moon,"20° (Integrated Feeling): Feeling matures into steady tide — protective, ancestral, and enduring. — The Moon in Cancer under the Root Trinity Wave roots Feeling in belonging and memory. Emotion here is tidal and protective, tied to ancestry, kin, and the primal home. In the Root Trinity, this is the most essential pulse of nurture: Feeling as root, memory as vessel.",21 A Prima Donna singing.,21. High up on a mountain an eagle’s nest.,What sovereign voice are you lifting to its rightful height?
1,0,Leo,Moon,"0° (Emergent Feeling): Emotion awakens as joyful spark, seeking play. — The Moon in Leo under the Root Trinity Wave roots Feeling in radiance and expression. Emotion here craves recognition, play, and the joy of being seen. In the Root Trinity, this is the pulse of creative warmth: Feeling as light shining outward.",1   A case of apoplexy.,1. A divorced husband and wife enjoying each other’s company.,What explosive charge can now be released in peaceful presence? 
1,10,Leo,Moon,"10° (Formative Feeling): Feeling stabilizes through patterns of creative expression and validation. — The Moon in Leo under the Root Trinity Wave roots Feeling in radiance and expression. Emotion here craves recognition, play, and the joy of being seen. In the Root Trinity, this is the pulse of creative warmth: Feeling as light shining outward.",​11 Children on a swing in a huge oak tree.,11. A boy removing a thorn from his foot.,What joyful innocence is healing an old pain?
1,20,Leo,Moon,"20° (Integrated Feeling): Emotion matures into steady warmth — generous, radiant, and alive. — The Moon in Leo under the Root Trinity Wave roots Feeling in radiance and expression. Emotion here craves recognition, play, and the joy of being seen. In the Root Trinity, this is the pulse of creative warmth: Feeling as light shining outward.",​21 Chickens intoxicated.,21. A holly bush covered with berries. It is in the snow.,What temporary frenzy is rooted in deep seasonal fruiting?
1,0,Virgo,Moon,"0° (Emergent Feeling): Emotion awakens through awareness of detail and imbalance. — The Moon in Virgo under the Root Trinity Wave roots Feeling in refinement and attentive care. Emotion here is precise, sensitive to flaws, and oriented toward service. In the Root Trinity, this is the archetypal pulse of discernment: Feeling as caretaker through detail.",1  A man's head.,1. A volcano erupting at night.,What conscious clarity is hiding a powerful inner eruption?  
1,10,Virgo,Moon,"10° (Formative Feeling): Feeling stabilizes through patterns of correction, service, and improvement. — The Moon in Virgo under the Root Trinity Wave roots Feeling in refinement and attentive care. Emotion here is precise, sensitive to flaws, and oriented toward service. In the Root Trinity, this is the archetypal pulse of discernment: Feeling as caretaker through detail.",11 A boy moulded in his mother's aspirations for him.,11. A four-year-old girl dressed as a nurse.,What borrowed purpose is being returned to playfulness?
1,20,Virgo,Moon,"20° (Integrated Feeling): Emotion matures into grounded care — precise, humble, and useful. — The Moon in Virgo under the Root Trinity Wave roots Feeling in refinement and attentive care. Emotion here is precise, sensitive to flaws, and oriented toward service. In the Root Trinity, this is the archetypal pulse of discernment: Feeling as caretaker through detail.",21 A girls’ basketball team.,21. Dark river and distant bell.,What shared rhythm is calling you into coordinated flow?
1,0,Libra,Moon,"0° (Emergent Feeling): Emotion awakens through need for connection and reflection. — The Moon in Libra under the Root Trinity Wave roots Feeling in harmony and reflection. Emotion here arises in the mirror of others, shaped by dialogue and balance. In the Root Trinity, this is the essential relational pulse: Feeling as equilibrium between self and other.",1   A butterfly made perfect by a dart through it.,1. A group of fat Italian ladies preparing bread.,What idealized beauty is softening into nourishing reality? 
1,10,Libra,Moon,"10° (Formative Feeling): Feeling stabilizes through patterns of fairness, diplomacy, and shared space. — The Moon in Libra under the Root Trinity Wave roots Feeling in harmony and reflection. Emotion here arises in the mirror of others, shaped by dialogue and balance. In the Root Trinity, this is the essential relational pulse: Feeling as equilibrium between self and other.",11 A professor peering over his glasses.,11. Tea leaves that form a pentagram.,What curiosity is inviting you to decode a sacred message?
1,20,Libra,Moon,"20° (Integrated Feeling): Emotion matures into poised presence — graceful, harmonized, and relational. — The Moon in Libra under the Root Trinity Wave roots Feeling in harmony and reflection. Emotion here arises in the mirror of others, shaped by dialogue and balance. In the Root Trinity, this is the essential relational pulse: Feeling as equilibrium between self and other.",21 A crowd upon the beach.,21. A magician wearing a live snake for a belt.,What collective energy is wrapping itself in your creative power?
1,0,Scorpio,Moon,"0° (Emergent Feeling): Emotion awakens as raw intensity and instinctual depth. — The Moon in Scorpio under the Root Trinity Wave roots Feeling in intensity and transformation. Emotion here runs deep, magnetic, and unrelenting, requiring confrontation with shadow. In the Root Trinity, this is the pulse of primal depth: Feeling as survival, rebirth, and power.",1   A sight-seeing bus.,1. A tunnel through a mountain.,What external journey mirrors a passage into your own depths?  
1,10,Scorpio,Moon,"10° (Formative Feeling): Feeling stabilizes through secrecy, control, and emotional testing. — The Moon in Scorpio under the Root Trinity Wave roots Feeling in intensity and transformation. Emotion here runs deep, magnetic, and unrelenting, requiring confrontation with shadow. In the Root Trinity, this is the pulse of primal depth: Feeling as survival, rebirth, and power.",11 A drowning man rescued.,11. Gnarled twisted trees against an overcast sky.,What tangled story is being pulled from the waters of emotion?
1,20,Scorpio,Moon,"20° (Integrated Feeling): Emotion matures into transformative resilience — magnetic and enduring. — The Moon in Scorpio under the Root Trinity Wave roots Feeling in intensity and transformation. Emotion here runs deep, magnetic, and unrelenting, requiring confrontation with shadow. In the Root Trinity, this is the pulse of primal depth: Feeling as survival, rebirth, and power.",​21 A soldier derelict in his duty.,21. A pair of glasses with no lenses in them.,What responsibility is being questioned through flawed vision?
1,0,Sagittarius,Moon,"0° (Emergent Feeling): Emotion awakens as restless desire for openness and truth. — The Moon in Sagittarius under the Root Trinity Wave roots Feeling in vision and expansion. Emotion here seeks freedom, exploration, and open horizons. In the Root Trinity, this is the pulse of adventure within the emotional body: Feeling as quest for meaning.",1   A Grand Army of the Republic campfire.,"1. A woman, manacled in solid gold chains.", What is veiled in you that longs to be seen gently?
1,10,Sagittarius,Moon,"10° (Formative Feeling): Feeling stabilizes through patterns of belief, travel, and exploration. — The Moon in Sagittarius under the Root Trinity Wave roots Feeling in vision and expansion. Emotion here seeks freedom, exploration, and open horizons. In the Root Trinity, this is the pulse of adventure within the emotional body: Feeling as quest for meaning.",11 The lamp of physical enlightenment at the left temple.,11. A string of pearls.,What embodied knowing is emerging through subtle links?
1,20,Sagittarius,Moon,"20° (Integrated Feeling): Emotion matures into steady optimism — radiant with vision and faith. — The Moon in Sagittarius under the Root Trinity Wave roots Feeling in vision and expansion. Emotion here seeks freedom, exploration, and open horizons. In the Root Trinity, this is the pulse of adventure within the emotional body: Feeling as quest for meaning.",​21 A child and a dog with borrowed eyeglasses.,21. Toads singing at night.,What innocent perspective is tuning you to hidden frequencies?
1,0,Capricorn,Moon,"0° (Emergent Feeling): Emotion awakens as instinct for control and containment. — The Moon in Capricorn under the Root Trinity Wave roots Feeling in structure and endurance. Emotion here is disciplined, restrained, and enduring, shaped by necessity and responsibility. In the Root Trinity, this is the primal emotional survival mode: Feeling as steady backbone.",1   An Indian chief demanding recognition.,1. A canopy bed with curtains.,What leadership is seeking acknowledgment within a veiled space?  
1,10,Capricorn,Moon,"10° (Formative Feeling): Feeling stabilizes through discipline, duty, and emotional restraint. — The Moon in Capricorn under the Root Trinity Wave roots Feeling in structure and endurance. Emotion here is disciplined, restrained, and enduring, shaped by necessity and responsibility. In the Root Trinity, this is the primal emotional survival mode: Feeling as steady backbone.",11 A large group of pheasants,11. A young boy joyously kisses a fat old lady.,What abundance is being shared in an unexpected embrace?
1,20,Capricorn,Moon,"20° (Integrated Feeling): Emotion matures into resilient calm — reliable, enduring, and strong. — The Moon in Capricorn under the Root Trinity Wave roots Feeling in structure and endurance. Emotion here is disciplined, restrained, and enduring, shaped by necessity and responsibility. In the Root Trinity, this is the primal emotional survival mode: Feeling as steady backbone.",21 A relay race.,21. A stately old house in a ruined condition.,What inherited structure are you being called to pass forward or restore?
1,0,Aquarius,Moon,"0° (Emergent Feeling): Emotion awakens as sudden awareness of difference and vision. — The Moon in Aquarius under the Root Trinity Wave roots Feeling in collective vision and difference. Emotion here is abstract, unconventional, and often detached, more concerned with humanity than intimacy. In the Root Trinity, this is the archetypal emotional lightning: Feeling as shock of awareness.",1   An old adobe mission.,1. A two-headed calf.,What rooted tradition is birthing a new paradox of perception? 
1,10,Aquarius,Moon,"10° (Formative Feeling): Feeling stabilizes through ideals, group belonging, and emotional detachment. — The Moon in Aquarius under the Root Trinity Wave roots Feeling in collective vision and difference. Emotion here is abstract, unconventional, and often detached, more concerned with humanity than intimacy. In the Root Trinity, this is the archetypal emotional lightning: Feeling as shock of awareness.",11 Man tête-à-tête with his inspiration.,11. Crows eating the corn that a farmer has sown.,What dialogue with spirit is being challenged by earthly interference?
