sign	decan_number	degree_range	title	ruler	sub_sign	spark	deep_insight	poetic	influential_waves_e	influential_waves_a	structural_tone	field_function	wave_summary
Libra	1	0–9°	The Mirror Breath	Venus	Libra/Libra	The first breath of balance — self seen in the other.	Relational awareness begins; beauty as the shape of right relation.	“I see myself in you — harmony is the breath between us.”	2,6,7	2,6	Initiatory air (relational) — attraction to architecture.	Begins the work of balance via shared perspective.	2 reflection, 6 bridge; 7 love-tone.
Libra	2	10–19°	The Sacred Scale	Uranus	Libra/Aquarius	The mirror sharpens — balance becomes principle.	Harmony is tested by discernment and fairness; justice as graceful measure.	“Balance is not silence — it is truth revealed through measure.”	6,2,4	6,2	Principled air — calibration and clarity.	Weighs values; aligns beauty with truth.	6 structure, 2 empathy; 4 intuitive discrimination.
Libra	3	20–29°	The Diplomat’s Crown	Mercury	Libra/Gemini	The mirror ripens — harmony offered as gift.	Relational mastery matures into diplomacy and artistry; difference woven into peace.	“Grace walks between truths — beauty becomes the most refined peace.”	6,7,8	6,8	Culmination air — elegant agreements and design.	Turns accord into culture and enduring forms.	6 bridges, 8 codifies; 7 benevolence.
Scorpio	1	0–9°	The Depth Gate	Mars	Scorpio/Scorpio	The first descent — feeling becomes gravity, pulling inward.	The soul dives into magnetism, shadow, and secrecy; courage becomes intimacy.	“To descend is to remember power — the wound becomes the gate.”	4,8,9,2	4,8,9	Initiatory water (depth) — magnetism and mystery.	Pulls power from shadow; binds fiercely.	4 oracular, 8 codified passion, 9 karmic thread; 2 intimacy.
Scorpio	2	10–19°	The Sacred Forge	Sun	Scorpio/Pisces	Intensity finds form — devotion hammered from fire and water.	Raw passion is shaped into vow and loyalty; truth is tempered.	“The crucible shapes fire into vow — intimacy becomes strength.”	3,4,8,9	3,4,8	Refinement water — discipline of passion.	Shapes desire into ritual, craft, and commitment.	3 movement, 4 revelation, 8 fixation; 9 continuity.
Scorpio	3	20–29°	The Phoenix Gate	Venus	Scorpio/Cancer	The descent completes — the soul rises in transfigured light.	Resurrection through release; compassion and prophecy walk together.	“Through death, the soul remembers itself — ashes become wings.”	4,7,9,10	4,7,9	Culmination water — release and blessing.	Turns endings into medicine and legacy.	4 oracle, 7 heart, 9 closure; 10 renewal hidden in endings.
Sagittarius	1	0–9°	The Flame Beyond	Jupiter	Sagittarius/Sagittarius	The fire turns outward — seeking horizon, seeking truth.	The seeker’s flame quests beyond the known; freedom becomes meaning.	“The horizon calls — fire becomes freedom, meaning becomes compass.”	3,6,9,10	3,6,9	Initiatory fire (quest) — exploration and synthesis.	Gathers story into vision; widens the map.	3 creativity, 6 coherence, 9 wisdom; 10 fresh vision cycles.
Sagittarius	2	10–19°	The Arrow of Meaning	Mars	Sagittarius/Aries	The seeker declares — vision sharpens into teaching and truth.	Experience becomes belief; conviction speaks in clear lines.	“The flame becomes word — truth carried as arrow.”	3,6,8	3,6	Refinement fire (doctrine) — articulation and reach.	Translates quest into message and method.	3 narrative, 6 bridge; 8 structure.
Sagittarius	3	20–29°	The Flamebearer	Sun	Sagittarius/Leo	The quest matures — wisdom embodied as radiant offering.	The pilgrim becomes sage; presence teaches by living.	“The flame no longer seeks — it shines as the wisdom it has become.”	8,9,10	8,9	Culmination fire (legacy) — presence as teaching.	Embodies meaning; leaves story and blessing.	8 enduring form, 9 harvest; 10 renewal via transmission.
Capricorn	1	0–9°	The Stone Threshold	Saturn	Capricorn/Capricorn	The first stones are laid — endurance begins the climb.	Ambition meets discipline; vision takes weight and work.	“The path begins in stone — steady, silent, enduring.”	6,8,10	6,8	Initiatory earth (structure) — foundation and duty.	Commits to long arcs; builds containers that endure.	6 coherence, 8 form; 10 cycles of structure.
Capricorn	2	10–19°	The Builder of Worlds	Venus	Capricorn/Taurus	Structure becomes craft — endurance shapes beauty and order.	The builder is artist; stewardship designs meaning into matter.	“Stone becomes temple — devotion etched into endurance.”	2,6,8	6,8	Refinement earth — stewardship and design.	Optimizes systems; marries function and beauty.	6/8 core; 2 relational responsibility tone.
Capricorn	3	20–29°	The Mountain Crown	Mercury	Capricorn/Virgo	The summit is reached — legacy crystallizes in enduring form.	Mastery encoded into systems; the mountain becomes symbol.	“At the summit, stone becomes symbol — endurance becomes truth.”	8,9,10	8,9	Culmination earth — canon and codex.	Preserves wisdom in blueprints and teachings.	8 codifies, 9 consolidates; 10 archetypal renewal.
Aquarius	1	0–9°	The Storm Bringer	Saturn	Aquarius/Aquarius	The air cracks open — a storm of change electrifies the field.	Disruption births renewal; the storm clears the sky for what is next.	“The storm comes not to destroy — but to open the sky for what is new.”	6,8,10	6,8,10	Initiatory air (reform) — disruption into pattern.	Breaks stagnation; forges frameworks for change.	6 networks, 8 structure, 10 new cycles.
Aquarius	2	10–19°	The Vision Weaver	Mercury	Aquarius/Gemini	Ideas intertwine — the mind builds bridges to the future.	Thought becomes connective architecture; imagination turns blueprint.	“Ideas are threads — the mind weaves tomorrow from their pattern.”	3,6,8	3,6	Refinement air — synthesis and systems design.	Translates possibility into pathways.	3 invention, 6 coherence; 8 sacred design.
Aquarius	3	20–29°	The Crown of Currents	Moon	Aquarius/Libra	The air flows outward — currents of empathy join the collective field.	Innovation turns relational; justice and care spread through community.	“The current flows through all — love carried on the winds of change.”	2,7,9	2,7	Culmination air — community and care.	Humanizes reform; distributes belonging.	2 mirror, 7 compassion; 9 collective memory.
Pisces	1	0–9°	The Womb of the Infinite	Jupiter	Pisces/Pisces	The ocean opens — feeling flows beyond the self.	Boundaries dissolve into mysticism and empathy; imagination remembers origin.	“The soul remembers it was never separate — all waters flow into one sea.”	2,6,7,10	2,6,7	Initiatory water (mystic) — porousness and union.	Merges boundaries; prays through art and love.	2/6/7 core; 10 as subtle renewal.
Pisces	2	10–19°	The Dream Weaver	Mars	Pisces/Scorpio	The waters swirl inward — dream becomes symbol, depth becomes story.	The unseen takes form in image and myth; art as vessel of soul.	“Dreams speak in symbols — the soul whispers through story.”	3,8,9	3,8	Refinement water — image, myth, and translation.	Gives the invisible shape; composes ritual and art.	3 threads, 8 fixes; 9 memory.
Pisces	3	20–29°	The Eternal Tide	Moon	Pisces/Cancer	The tide recedes — the self dissolves into legacy and myth.	Dissolution becomes offering; wisdom poured back into the sea.	“The tide withdraws — form dissolves, but essence becomes eternal.”	4,8,9,10	4,8,9	Culmination water (return) — offering and release.	Lets the self become gift; closes cycles with grace.	4 mystic, 8 codex, 9 completion; 10 hidden renewal.
